Categoría: Todas las categorías

Día,lula: (Brasil),Bolsonaro: (Brasil)
2022-07-05,13,26
2022-07-06,10,19
2022-07-07,18,16
2022-07-08,3,29
2022-07-09,19,0
2022-07-10,0,23
2022-07-11,10,16
2022-07-12,13,25
2022-07-13,13,15
2022-07-14,10,22
2022-07-15,12,26
2022-07-16,6,26
2022-07-17,21,16
2022-07-18,13,8
2022-07-19,15,30
2022-07-20,15,23
2022-07-21,10,26
2022-07-22,16,13
2022-07-23,0,11
2022-07-24,10,22
2022-07-25,11,22
2022-07-26,9,24
2022-07-27,16,28
2022-07-28,3,12
2022-07-29,8,23
2022-07-30,12,19
2022-07-31,13,23
2022-08-01,6,17
2022-08-02,12,11
2022-08-03,12,28
2022-08-04,11,35
2022-08-05,12,22
2022-08-06,5,13
2022-08-07,11,28
2022-08-08,10,26
2022-08-09,17,31
2022-08-10,8,25
2022-08-11,13,31
2022-08-12,6,30
2022-08-13,23,33
2022-08-14,10,19
2022-08-15,13,16
2022-08-16,16,20
2022-08-17,19,28
2022-08-18,19,31
2022-08-19,15,32
2022-08-20,7,21
2022-08-21,13,21
2022-08-22,8,38
2022-08-23,26,85
2022-08-24,32,46
2022-08-25,28,30
2022-08-26,87,72
2022-08-27,38,37
2022-08-28,20,26
2022-08-29,41,58
2022-08-30,21,37
2022-08-31,11,37
2022-09-01,21,31
2022-09-02,25,45
2022-09-03,25,30
2022-09-04,18,27
2022-09-05,22,33
2022-09-06,9,39
2022-09-07,11,57
2022-09-08,22,46
2022-09-09,24,57
2022-09-10,23,32
2022-09-11,15,26
2022-09-12,22,36
2022-09-13,22,37
2022-09-14,25,29
2022-09-15,21,35
2022-09-16,26,40
2022-09-17,31,37
2022-09-18,18,32
2022-09-19,24,39
2022-09-20,30,52
2022-09-21,27,48
2022-09-22,42,40
2022-09-23,17,36
2022-09-24,31,56
2022-09-25,36,39
2022-09-26,41,41
2022-09-27,39,59
2022-09-28,30,50
2022-09-29,51,58
2022-09-30,78,100
2022-10-01,61,87
