Categoría: Todas las categorías

Tiempo,lula: (Brasil),Bolsonaro: (Brasil)
2022-09-27T22,12,13
2022-09-27T23,12,14
2022-09-28T00,11,14
2022-09-28T01,10,11
2022-09-28T02,9,10
2022-09-28T03,7,9
2022-09-28T04,7,7
2022-09-28T05,8,9
2022-09-28T06,9,10
2022-09-28T07,10,11
2022-09-28T08,9,10
2022-09-28T09,9,10
2022-09-28T10,9,11
2022-09-28T11,10,11
2022-09-28T12,12,14
2022-09-28T13,11,13
2022-09-28T14,9,10
2022-09-28T15,9,11
2022-09-28T16,9,11
2022-09-28T17,10,11
2022-09-28T18,11,12
2022-09-28T19,10,11
2022-09-28T20,10,12
2022-09-28T21,10,13
2022-09-28T22,10,13
2022-09-28T23,9,12
2022-09-29T00,10,11
2022-09-29T01,9,11
2022-09-29T02,8,10
2022-09-29T03,7,9
2022-09-29T04,6,8
2022-09-29T05,6,7
2022-09-29T06,7,9
2022-09-29T07,8,11
2022-09-29T08,8,10
2022-09-29T09,9,11
2022-09-29T10,9,11
2022-09-29T11,9,12
2022-09-29T12,13,14
2022-09-29T13,13,16
2022-09-29T14,10,12
2022-09-29T15,10,12
2022-09-29T16,11,12
2022-09-29T17,12,15
2022-09-29T18,14,19
2022-09-29T19,16,20
2022-09-29T20,19,23
2022-09-29T21,18,22
2022-09-29T22,23,28
2022-09-29T23,36,40
2022-09-30T00,37,41
2022-09-30T01,36,40
2022-09-30T02,31,35
2022-09-30T03,19,21
2022-09-30T04,15,17
2022-09-30T05,16,17
2022-09-30T06,19,20
2022-09-30T07,20,22
2022-09-30T08,19,21
2022-09-30T09,18,20
2022-09-30T10,17,20
2022-09-30T11,18,21
2022-09-30T12,22,24
2022-09-30T13,19,24
2022-09-30T14,17,19
2022-09-30T15,15,17
2022-09-30T16,16,17
2022-09-30T17,17,21
2022-09-30T18,19,21
2022-09-30T19,21,24
2022-09-30T20,21,24
2022-09-30T21,21,23
2022-09-30T22,18,22
2022-09-30T23,18,21
2022-10-01T00,16,20
2022-10-01T01,16,18
2022-10-01T02,13,16
2022-10-01T03,12,16
2022-10-01T04,12,15
2022-10-01T05,13,15
2022-10-01T06,15,18
2022-10-01T07,17,22
2022-10-01T08,18,24
2022-10-01T09,19,24
2022-10-01T10,19,27
2022-10-01T11,20,29
2022-10-01T12,22,29
2022-10-01T13,24,33
2022-10-01T14,24,32
2022-10-01T15,23,31
2022-10-01T16,21,29
2022-10-01T17,21,29
2022-10-01T18,26,32
2022-10-01T19,27,39
2022-10-01T20,30,40
2022-10-01T21,31,41
2022-10-01T22,29,44
2022-10-01T23,30,46
2022-10-02T00,32,47
2022-10-02T01,28,41
2022-10-02T02,26,35
2022-10-02T03,25,31
2022-10-02T04,23,25
2022-10-02T05,26,34
2022-10-02T06,35,52
2022-10-02T07,47,66
2022-10-02T08,50,79
2022-10-02T09,57,86
2022-10-02T10,52,87
2022-10-02T11,58,82
2022-10-02T12,64,81
2022-10-02T13,70,82
2022-10-02T14,67,80
2022-10-02T15,75,86
2022-10-02T16,85,89
2022-10-02T17,95,100
2022-10-02T18,82,91
2022-10-02T19,78,80
2022-10-02T20,88,86
2022-10-02T21,84,84
2022-10-02T22,85,80
2022-10-02T23,63,74
2022-10-03T00,57,63
2022-10-03T01,55,58
2022-10-03T02,52,55
2022-10-03T03,54,55
2022-10-03T04,63,65
2022-10-03T05,72,67
2022-10-03T06,63,61
2022-10-03T07,52,53
2022-10-03T08,41,42
2022-10-03T09,38,36
2022-10-03T10,32,35
2022-10-03T11,33,33
2022-10-03T12,39,38
2022-10-03T13,35,33
2022-10-03T14,26,27
2022-10-03T15,25,25
2022-10-03T16,24,25
2022-10-03T17,26,27
2022-10-03T18,27,30
2022-10-03T19,33,33
2022-10-03T20,29,34
2022-10-03T21,26,31
2022-10-03T22,24,38
2022-10-03T23,26,32
2022-10-04T00,26,28
2022-10-04T01,25,29
2022-10-04T02,20,23
2022-10-04T03,18,21
2022-10-04T04,15,20
2022-10-04T05,15,17
2022-10-04T06,19,21
2022-10-04T07,21,22
2022-10-04T08,19,22
2022-10-04T09,19,23
2022-10-04T10,19,25
2022-10-04T11,22,29
2022-10-04T12,26,36
2022-10-04T13,27,34
2022-10-04T14,26,31
2022-10-04T15,24,29
2022-10-04T16,23,28
2022-10-04T17,23,29
2022-10-04T18,25,33
2022-10-04T19,25,30
2022-10-04T20,26,29
2022-10-04T21,21,26
