anio;jurisdiccion;empresa
09/2019;MUNICIPAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I"
09/2019;MUNICIPAL;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT"
09/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL"
09/2019;MUNICIPAL;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL"
09/2019;MUNICIPAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278"
09/2019;MUNICIPAL;"COMPAÑIA ISLEÑA S.R.L."
09/2019;MUNICIPAL;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI"
09/2019;MUNICIPAL;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA"
09/2019;MUNICIPAL;"EL URBANO SRL"
09/2019;MUNICIPAL;"EMPRESA 501 SA"
09/2019;MUNICIPAL;"EMPRESA CINCO DE AGOSTO S.R.L."
09/2019;MUNICIPAL;"EMPRESA CIUDAD DE SAN FERNANDO SA"
09/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL"
09/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES EL LITORAL S.A."
09/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES SANTA RITA  SRL"
09/2019;MUNICIPAL;"EMPRESA J.M. EZEIZA S.R.L."
09/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T."
09/2019;MUNICIPAL;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL"
09/2019;MUNICIPAL;"EMPRESA MONTE GRANDE S.A. LINEA 501"
09/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T."
09/2019;MUNICIPAL;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L."
09/2019;MUNICIPAL;"EMRESA MONTERREY S.R.L."
09/2019;MUNICIPAL;"EXPRESO EMPALME LOBOS S.R.L."
09/2019;MUNICIPAL;"EXPRESO LA PLATA BUENOS AIRES S.A."
09/2019;MUNICIPAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A."
09/2019;MUNICIPAL;"EXPRESO VILLA NUEVA S.A."
09/2019;MUNICIPAL;"FUERTE BARRAGAN S.A.T.I.C.I."
09/2019;MUNICIPAL;"GENERAL TOMAS GUIDO S.A.C.I.F."
09/2019;MUNICIPAL;"LA CABAÑA S.A."
09/2019;MUNICIPAL;"LA CENTRAL DE ESCOBAR SA"
09/2019;MUNICIPAL;"LA PRIMERA DE GRAND BOURG S.A."
09/2019;MUNICIPAL;"LA PRIMERA DE LA ESCONDIDA SRL"
09/2019;MUNICIPAL;"LA PRIMERA DE MALVINAS ARGENTINAS UTE"
09/2019;MUNICIPAL;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS"
09/2019;MUNICIPAL;"LINEA EXPRESO LINIERS S.A.I.Y C."
09/2019;MUNICIPAL;"LINEA SESENTA SA"
09/2019;MUNICIPAL;"MICRO OMNIBUS AVENIDA S.A."
09/2019;MUNICIPAL;"MICRO OMNIBUS ESTE S.A"
09/2019;MUNICIPAL;"MICRO OMNIBUS GENERAL SAN MARTIN SAC"
09/2019;MUNICIPAL;"MICRO OMNIBUS GRAL PACHECO SRL"
09/2019;MUNICIPAL;"MICRO OMNIBUS PRIMERA JUNTA S.A"
09/2019;MUNICIPAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F."
09/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A."
09/2019;MUNICIPAL;"MICROEXPRES S.A."
09/2019;MUNICIPAL;"NUEVO IDEAL S.A."
09/2019;MUNICIPAL;"PILAR BUS S.A"
09/2019;MUNICIPAL;"RUTA BUS S.A."
09/2019;MUNICIPAL;"SAN VICENTE S.A. DE TRANSPORTES"
09/2019;MUNICIPAL;"SARGENTO CABRAL S.A.DE TRANSPORTE"
09/2019;MUNICIPAL;"SERGIO A. RIVAS S.R.L"
09/2019;MUNICIPAL;"TRANSPORTE 11 DE JUNIO S.R.L."
09/2019;MUNICIPAL;"TRANSPORTE DEL SUR S.R.L."
