anio;jurisdiccion;empresa
09/2019;NACIONAL;"17 DE AGOSTO S.A."
09/2019;NACIONAL;"4 DE SEPTIEMBRE S.A.T.C.P."
09/2019;NACIONAL;"ALMAFUERTE S.A.T.A.C.I."
09/2019;NACIONAL;"AZUL S.A. DE TRANSPORTE AUTOMOTOR"
09/2019;NACIONAL;"BERNARDINO RIVADAVIA S.A.T.A."
09/2019;NACIONAL;"BUENOS AIRES BUS SOCIEDAD ANONIMA"
09/2019;NACIONAL;"BUS DEL OESTE S.A."
09/2019;NACIONAL;"CARDENAS S.A. EMPRESA DE TRANSPORTES"
09/2019;NACIONAL;"COLECTIVEROS UNIDOS S.A."
09/2019;NACIONAL;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI"
09/2019;NACIONAL;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR"
09/2019;NACIONAL;"D.U.V.I. SOCIEDAD ANONIMA"
09/2019;NACIONAL;"EL NUEVO HALCON S.A."
09/2019;NACIONAL;"EL PUENTE S.A.T."
09/2019;NACIONAL;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A."
09/2019;NACIONAL;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L."
09/2019;NACIONAL;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F."
09/2019;NACIONAL;"EMPRESA ANTARTIDA ARGENTINA S.A.T."
09/2019;NACIONAL;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A"
09/2019;NACIONAL;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I."
09/2019;NACIONAL;"EMPRESA LINEA 216 S.A.T."
09/2019;NACIONAL;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S."
09/2019;NACIONAL;"ERSA URBANO"
09/2019;NACIONAL;"EXPRESO GENERAL SARMIENTO S.A."
09/2019;NACIONAL;"EXPRESO QUILMES S.A."
09/2019;NACIONAL;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I."
09/2019;NACIONAL;"GENERAL PUEYRREDON S.A.T.C.I."
09/2019;NACIONAL;"GENERAL TOMAS GUIDO S.A.C.I.F."
