Categoría: Todas las categorías

Región,lula: (5/9/22 - 5/10/22),Bolsonaro: (5/9/22 - 5/10/22)
Tocantins,27 %,73 %
Alagoas,28 %,72 %
Sergipe,44 %,56 %
Rondonia,36 %,64 %
Ceará,43 %,57 %
Goiás,35 %,65 %
Santa Catarina,39 %,61 %
Paraíba,43 %,57 %
Río Grande del Norte,42 %,58 %
Pará,29 %,71 %
Estado de Paraná,30 %,70 %
Mato Grosso del Sur,,100 %
Estado de Río de Janeiro,42 %,58 %
Río Grande del Sur,32 %,68 %
Amazonas,37 %,63 %
Minas Gerais,37 %,63 %
Distrito Federal,48 %,52 %
Mato Grosso,30 %,70 %
Bahía,51 %,49 %
Pernambuco,44 %,56 %
Estado de São Paulo,42 %,58 %
Piauí,58 %,42 %
Espírito Santo,41 %,59 %
Maranhão,54 %,46 %
Acre,,
Amapá,,
Roraima,,
