"","license_class","trips_per_day","farebox_per_day","unique_drivers","unique_vehicles","vehicles_per_day","avg_days_vehicles_on_road","avg_hours_per_day_per_vehicle","avg_days_drivers_on_road","avg_hours_per_day_per_driver","avg_minutes_per_trip","percent_of_trips_paid_with_credit_card","trips_per_day_shared","month_year","month_year1","trips_per_month","month_date","farebox_per_month","week","trips_per_week","year","farebox_per_week","total_trips_per_day","shared_trips_per_day_percent"
"1","FHV - Black Car",16972,NA,7208,6996,3136,13.5,4.1,13.3,4,28,NA,NA,"2022-06",Jun 2022,509160,2022-06-28,NA,"26",118804,"2022",NA,NA,NA
"2","FHV - Black Car",16299,NA,7226,7072,2969,13,4.1,13,4.1,28,NA,NA,"2022-05",May 2022,505269,2022-05-28,NA,"21",114093,"2022",NA,NA,NA
"3","FHV - Black Car",17243,NA,7209,7093,3173,13.4,4.1,13.4,4.1,28,NA,NA,"2022-04",Apr 2022,517290,2022-04-28,NA,"17",120701,"2022",NA,NA,NA
"4","FHV - Black Car",17453,NA,7008,6909,3191,14.3,4.1,14.3,4.1,27,NA,NA,"2022-03",Mar 2022,541043,2022-03-28,NA,"13",122171,"2022",NA,NA,NA
"5","FHV - Black Car",17521,NA,7336,7265,3208,12.4,4.1,12.4,4.1,26,NA,NA,"2022-02",Feb 2022,490588,2022-02-28,NA,"09",122647,"2022",NA,NA,NA
"6","FHV - Black Car",13440,NA,7171,7136,2625,11.4,3.9,11.5,3.9,24,NA,NA,"2022-01",Jan 2022,416640,2022-01-28,NA,"04",94080,"2022",NA,NA,NA
"7","FHV - Black Car",15518,NA,7495,7420,2924,12.2,4,12.2,4,27,NA,NA,"2021-12",Dec 2021,481058,2021-12-28,NA,"52",108626,"2021",NA,NA,NA
"8","FHV - Black Car",11915,NA,5048,4917,2260,13.8,4,13.7,4,27,NA,NA,"2021-11",Nov 2021,357450,2021-11-28,NA,"47",83405,"2021",NA,NA,NA
"9","FHV - Black Car",11816,NA,5236,5109,2241,13.6,4,13.5,3.9,28,NA,NA,"2021-10",Oct 2021,366296,2021-10-28,NA,"43",82712,"2021",NA,NA,NA
"10","FHV - Black Car",11332,NA,4848,4739,2069,13.1,4.1,12.9,4.1,28,NA,NA,"2021-09",Sep 2021,339960,2021-09-28,NA,"39",79324,"2021",NA,NA,NA
"11","FHV - Black Car",9744,NA,3749,3704,1614,13.5,4.4,13.5,4.4,26,NA,NA,"2021-08",Aug 2021,302064,2021-08-28,NA,"34",68208,"2021",NA,NA,NA
"12","FHV - Black Car",10249,NA,4207,4182,1800,13.3,4.3,13.4,4.2,26,NA,NA,"2021-07",Jul 2021,317719,2021-07-28,NA,"30",71743,"2021",NA,NA,NA
"13","FHV - Black Car",14136,NA,4658,4643,2281,14.7,4.5,14.8,4.5,25,NA,NA,"2021-06",Jun 2021,424080,2021-06-28,NA,"26",98952,"2021",NA,NA,NA
"14","FHV - Black Car",13022,NA,4294,4278,2070,15,4.6,15,4.6,24,NA,NA,"2021-05",May 2021,403682,2021-05-28,NA,"21",91154,"2021",NA,NA,NA
"15","FHV - Black Car",12658,NA,4229,4224,2098,14.9,4.5,15,4.5,24,NA,NA,"2021-04",Apr 2021,379740,2021-04-28,NA,"17",88606,"2021",NA,NA,NA
"16","FHV - Black Car",13000,NA,4003,3995,2049,15.9,4.6,16,4.6,23,NA,NA,"2021-03",Mar 2021,403000,2021-03-28,NA,"12",91000,"2021",NA,NA,NA
"17","FHV - Black Car",10716,NA,3563,3561,1725,13.6,4.6,13.6,4.6,23,NA,NA,"2021-02",Feb 2021,300048,2021-02-28,NA,"08",75012,"2021",NA,NA,NA
"18","FHV - Black Car",10386,NA,3816,3806,1752,14.3,4.4,14.3,4.4,22,NA,NA,"2021-01",Jan 2021,321966,2021-01-28,NA,"04",72702,"2021",NA,NA,NA
"19","FHV - Black Car",11293,NA,4217,4187,1915,14.2,4.5,14.1,4.5,22,NA,NA,"2020-12",Dec 2020,350083,2020-12-28,NA,"52",79051,"2020",NA,NA,NA
"20","FHV - Black Car",11825,NA,4460,4458,2013,13.6,4.5,13.6,4.5,24,NA,NA,"2020-11",Nov 2020,354750,2020-11-28,NA,"47",82775,"2020",NA,NA,NA
"21","FHV - Black Car",10932,NA,4237,4215,1954,14.4,4.4,14.4,4.3,24,NA,NA,"2020-10",Oct 2020,338892,2020-10-28,NA,"43",76524,"2020",NA,NA,NA
"22","FHV - Black Car",12762,NA,4539,4543,2160,14.3,4.5,14.3,4.5,25,NA,NA,"2020-09",Sep 2020,382860,2020-09-28,NA,"39",89334,"2020",NA,NA,NA
"23","FHV - Black Car",9723,NA,3838,3856,1673,13.5,4.4,13.5,4.4,24,NA,NA,"2020-08",Aug 2020,301413,2020-08-28,NA,"34",68061,"2020",NA,NA,NA
"24","FHV - Black Car",8692,NA,3113,3128,1446,14.3,4.6,14.4,4.6,25,NA,NA,"2020-07",Jul 2020,269452,2020-07-28,NA,"30",60844,"2020",NA,NA,NA
"25","FHV - Black Car",9323,NA,3157,3165,1533,14.5,4.6,14.6,4.6,22,NA,NA,"2020-06",Jun 2020,279690,2020-06-28,NA,"25",65261,"2020",NA,NA,NA
"26","FHV - Black Car",6180,NA,2851,2861,1186,12.9,4.1,12.9,4.1,20,NA,NA,"2020-05",May 2020,191580,2020-05-28,NA,"21",43260,"2020",NA,NA,NA
"27","FHV - Black Car",5103,NA,2413,2425,982,12.2,4.1,12.2,4.1,19,NA,NA,"2020-04",Apr 2020,153090,2020-04-28,NA,"17",35721,"2020",NA,NA,NA
"28","FHV - Black Car",13708,NA,8345,8342,2917,10.8,3.8,10.9,3.8,24,NA,NA,"2020-03",Mar 2020,424948,2020-03-28,NA,"12",95956,"2020",NA,NA,NA
"29","FHV - Black Car",20412,NA,8415,8403,4238,14.6,3.9,14.7,3.9,27,NA,NA,"2020-02",Feb 2020,591948,2020-02-28,NA,"08",142884,"2020",NA,NA,NA
"30","FHV - Black Car",22195,NA,8625,8634,4409,15.8,4,15.9,4,25,NA,NA,"2020-01",Jan 2020,688045,2020-01-28,NA,"04",155365,"2020",NA,NA,NA
"31","FHV - Black Car",18498,NA,8019,7994,3873,15,3.8,15.1,3.8,29,NA,NA,"2019-12",Dec 2019,573438,2019-12-28,NA,"51",129486,"2019",NA,NA,NA
"32","FHV - Black Car",16612,NA,7237,7219,3645,15.2,3.7,15.2,3.7,28,NA,NA,"2019-11",Nov 2019,498360,2019-11-28,NA,"47",116284,"2019",NA,NA,NA
"33","FHV - Black Car",16245,NA,7120,7071,3757,16.5,3.6,16.4,3.6,29,NA,NA,"2019-10",Oct 2019,503595,2019-10-28,NA,"43",113715,"2019",NA,NA,NA
"34","FHV - Black Car",12373,NA,5499,5417,2846,15.8,3.5,15.6,3.5,32,NA,NA,"2019-09",Sep 2019,371190,2019-09-28,NA,"38",86611,"2019",NA,NA,NA
"35","FHV - Black Car",12787,NA,5874,5845,2964,15.7,3.4,15.7,3.4,32,NA,NA,"2019-08",Aug 2019,396397,2019-08-28,NA,"34",89509,"2019",NA,NA,NA
"36","FHV - Black Car",13993,NA,5995,5968,2914,15.1,3.7,15.1,3.7,29,NA,NA,"2019-07",Jul 2019,433783,2019-07-28,NA,"29",97951,"2019",NA,NA,NA
"37","FHV - Black Car",14233,NA,5876,5858,2988,15.3,3.7,15.3,3.7,29,NA,NA,"2019-06",Jun 2019,426990,2019-06-28,NA,"25",99631,"2019",NA,NA,NA
"38","FHV - Black Car",16186,NA,6211,6171,3237,16.3,3.9,16.2,3.8,27,NA,NA,"2019-05",May 2019,501766,2019-05-28,NA,"21",113302,"2019",NA,NA,NA
"39","FHV - Black Car",15660,NA,5824,5795,3126,16.2,3.9,16.2,3.8,27,NA,NA,"2019-04",Apr 2019,469800,2019-04-28,NA,"16",109620,"2019",NA,NA,NA
"40","FHV - Black Car",8778,NA,4513,4498,1916,13.2,3.5,13.3,3.5,23,NA,NA,"2019-03",Mar 2019,272118,2019-03-28,NA,"12",61446,"2019",NA,NA,NA
"41","FHV - Black Car",13692,NA,5129,5103,2811,15.4,3.8,15.4,3.8,28,NA,NA,"2019-02",Feb 2019,383376,2019-02-28,NA,"08",95844,"2019",NA,NA,NA
"42","FHV - Black Car",15024,NA,6111,6072,3156,16.1,3.7,16.1,3.7,27,NA,104,"2019-01",Jan 2019,465744,2019-01-28,NA,"04",105168,"2019",NA,15128,0.01
"43","FHV - Black Car",16120,NA,7321,7286,3463,14.7,3.6,14.8,3.6,30,NA,128,"2018-12",Dec 2018,499720,2018-12-28,NA,"52",112840,"2018",NA,16248,0.01
"44","FHV - Black Car",17791,NA,7362,7340,3891,15.9,3.6,15.9,3.6,30,NA,17734,"2018-11",Nov 2018,533730,2018-11-28,NA,"48",124537,"2018",NA,35525,0.5
"45","FHV - Black Car",18364,NA,7582,7476,3933,16.3,3.6,16.3,3.6,34,NA,158,"2018-10",Oct 2018,569284,2018-10-28,NA,"43",128548,"2018",NA,18522,0.01
"46","FHV - Black Car",15159,NA,6183,6140,3232,15.8,3.7,15.7,3.7,32,NA,291,"2018-09",Sep 2018,454770,2018-09-28,NA,"39",106113,"2018",NA,15450,0.02
"47","FHV - Black Car",14455,NA,6634,6609,3448,16.2,3.4,16.2,3.4,32,NA,16,"2018-08",Aug 2018,448105,2018-08-28,NA,"35",101185,"2018",NA,14471,0
"48","FHV - Black Car",13614,NA,6242,6188,3086,15.5,3.4,15.4,3.4,32,NA,13,"2018-07",Jul 2018,422034,2018-07-28,NA,"30",95298,"2018",NA,13627,0
"49","FHV - Black Car",17207,NA,7155,7119,3809,16.1,3.5,16,3.5,34,NA,NA,"2018-06",Jun 2018,516210,2018-06-28,NA,"26",120449,"2018",NA,NA,NA
