Categoría: Todas las categorías

Semana,estadistica: (Todo el mundo),data science: (Todo el mundo),ciencia de la computacion: (Todo el mundo),data analyst: (Todo el mundo)
2015-05-31,80,17,<1,10
2015-06-07,81,17,<1,11
2015-06-14,69,17,<1,11
2015-06-21,59,18,<1,11
2015-06-28,62,16,<1,11
2015-07-05,61,17,<1,12
2015-07-12,57,17,<1,12
2015-07-19,48,17,<1,11
2015-07-26,50,17,<1,10
2015-08-02,54,18,<1,10
2015-08-09,65,19,<1,12
2015-08-16,77,20,<1,12
2015-08-23,83,21,<1,11
2015-08-30,84,22,<1,11
2015-09-06,82,22,<1,11
2015-09-13,70,23,<1,12
2015-09-20,74,22,<1,12
2015-09-27,78,22,<1,12
2015-10-04,78,23,<1,12
2015-10-11,84,21,<1,11
2015-10-18,82,22,<1,12
2015-10-25,76,21,<1,10
2015-11-01,72,23,<1,11
2015-11-08,74,19,<1,9
2015-11-15,72,19,<1,10
2015-11-22,72,18,<1,8
2015-11-29,60,21,<1,10
2015-12-06,52,21,<1,10
2015-12-13,42,21,0,10
2015-12-20,20,15,<1,8
2015-12-27,23,16,<1,8
2016-01-03,32,22,<1,11
2016-01-10,51,23,<1,12
2016-01-17,62,24,<1,12
2016-01-24,74,24,<1,13
2016-01-31,87,25,<1,11
2016-02-07,99,21,<1,12
2016-02-14,100,21,<1,11
2016-02-21,87,23,<1,13
2016-02-28,78,22,<1,11
2016-03-06,73,23,<1,12
2016-03-13,72,22,<1,12
2016-03-20,38,24,<1,11
2016-03-27,62,21,<1,12
2016-04-03,74,24,<1,11
2016-04-10,78,22,<1,11
2016-04-17,76,22,<1,11
2016-04-24,73,22,<1,12
2016-05-01,74,22,<1,11
2016-05-08,80,24,<1,13
2016-05-15,84,23,<1,12
2016-05-22,83,24,<1,12
2016-05-29,79,22,<1,11
2016-06-05,80,24,<1,12
2016-06-12,68,25,<1,13
2016-06-19,58,23,<1,13
2016-06-26,58,23,<1,13
2016-07-03,70,22,<1,12
2016-07-10,59,23,<1,12
2016-07-17,49,25,<1,12
2016-07-24,45,23,<1,14
2016-07-31,50,23,<1,12
2016-08-07,64,23,<1,12
2016-08-14,65,23,<1,12
2016-08-21,78,28,<1,13
2016-08-28,79,30,<1,11
2016-09-04,81,30,<1,13
2016-09-11,70,32,<1,13
2016-09-18,68,33,<1,14
2016-09-25,72,28,<1,13
2016-10-02,72,28,<1,13
2016-10-09,73,29,<1,13
2016-10-16,88,28,<1,14
2016-10-23,87,30,<1,13
2016-10-30,74,30,<1,12
2016-11-06,79,29,<1,13
2016-11-13,74,30,<1,14
2016-11-20,68,26,<1,12
2016-11-27,64,31,<1,13
2016-12-04,52,31,<1,13
2016-12-11,41,32,<1,13
2016-12-18,24,27,<1,11
2016-12-25,20,22,<1,10
2017-01-01,27,31,0,14
2017-01-08,48,37,<1,15
2017-01-15,57,37,<1,15
2017-01-22,69,37,<1,14
2017-01-29,80,38,<1,16
2017-02-05,94,36,<1,15
2017-02-12,85,35,<1,14
2017-02-19,80,38,<1,16
2017-02-26,72,37,<1,16
2017-03-05,76,39,<1,15
2017-03-12,77,35,<1,15
2017-03-19,66,37,<1,16
2017-03-26,68,38,<1,16
2017-04-02,69,39,<1,18
2017-04-09,42,34,<1,15
2017-04-16,62,37,<1,15
2017-04-23,71,39,0,15
2017-04-30,69,37,<1,15
2017-05-07,76,37,<1,15
2017-05-14,73,35,<1,16
2017-05-21,75,39,<1,14
2017-05-28,75,37,<1,15
2017-06-04,69,38,<1,15
2017-06-11,66,37,<1,15
2017-06-18,58,37,<1,17
2017-06-25,50,36,0,16
2017-07-02,48,36,<1,15
2017-07-09,46,39,<1,16
2017-07-16,40,36,<1,17
2017-07-23,41,39,0,18
2017-07-30,45,39,<1,16
