Categoría: Todas las categorías

Mes,estadistica: (Todo el mundo),data science: (Todo el mundo),ciencia de la computacion: (Todo el mundo),data analyst: (Todo el mundo)
2004-01,83,8,<1,4
2004-02,97,7,<1,2
2004-03,92,6,<1,2
2004-04,86,5,<1,4
2004-05,100,3,<1,2
2004-06,87,5,1,3
2004-07,70,4,1,3
2004-08,99,4,<1,2
2004-09,96,5,1,3
2004-10,89,5,<1,2
2004-11,83,5,<1,2
2004-12,52,3,1,2
2005-01,72,5,<1,2
2005-02,94,4,1,3
2005-03,74,4,<1,3
2005-04,85,4,<1,3
2005-05,88,4,<1,3
2005-06,74,4,<1,3
2005-07,57,2,<1,2
2005-08,84,4,<1,2
2005-09,83,5,<1,3
2005-10,78,3,<1,3
2005-11,74,3,0,2
2005-12,47,3,<1,2
2006-01,62,3,<1,3
2006-02,76,4,<1,2
2006-03,70,3,<1,2
2006-04,63,4,<1,2
2006-05,77,3,<1,2
2006-06,63,3,<1,3
2006-07,46,2,<1,2
2006-08,71,3,<1,2
2006-09,66,4,<1,2
2006-10,64,3,<1,2
2006-11,66,4,<1,2
2006-12,39,3,<1,2
2007-01,51,3,<1,2
2007-02,63,3,<1,3
2007-03,53,3,<1,2
2007-04,51,2,<1,2
2007-05,65,2,<1,3
2007-06,53,3,<1,2
2007-07,40,2,<1,2
2007-08,70,3,<1,2
2007-09,66,3,<1,2
2007-10,60,3,<1,2
2007-11,57,3,<1,2
2007-12,33,3,<1,2
2008-01,50,3,<1,2
2008-02,64,3,<1,2
2008-03,48,2,<1,2
2008-04,58,3,<1,3
2008-05,58,2,<1,3
2008-06,53,2,<1,3
2008-07,38,3,<1,3
2008-08,66,3,<1,2
2008-09,61,3,<1,3
2008-10,60,3,<1,2
2008-11,53,3,<1,2
2008-12,32,3,<1,2
2009-01,43,3,<1,2
2009-02,61,3,<1,2
2009-03,53,3,<1,3
2009-04,52,3,<1,2
2009-05,58,2,<1,2
2009-06,54,2,<1,3
2009-07,41,3,<1,3
2009-08,66,3,<1,3
2009-09,66,3,<1,2
2009-10,61,3,<1,3
2009-11,58,3,<1,2
2009-12,33,3,<1,2
2010-01,42,3,<1,3
2010-02,65,3,<1,2
2010-03,53,3,<1,3
2010-04,59,3,<1,3
2010-05,62,3,<1,3
2010-06,56,2,<1,3
2010-07,38,2,<1,3
2010-08,60,2,<1,3
2010-09,59,4,<1,3
2010-10,56,3,<1,3
2010-11,55,3,<1,3
2010-12,31,3,<1,3
2011-01,41,3,<1,3
2011-02,64,3,<1,3
2011-03,53,3,<1,3
2011-04,48,3,<1,3
2011-05,56,2,<1,3
2011-06,51,3,<1,3
2011-07,37,2,<1,3
2011-08,59,3,<1,3
2011-09,61,4,<1,3
2011-10,62,3,<1,3
2011-11,56,3,<1,3
2011-12,30,3,<1,2
2012-01,41,4,<1,3
2012-02,58,4,<1,3
2012-03,51,3,<1,3
2012-04,42,3,<1,3
2012-05,52,3,<1,3
2012-06,44,3,<1,3
2012-07,34,3,<1,3
2012-08,52,3,<1,3
2012-09,52,5,<1,4
2012-10,50,4,<1,3
2012-11,46,4,<1,3
2012-12,24,3,<1,3
2013-01,35,4,<1,4
2013-02,51,4,<1,4
2013-03,39,4,<1,4
2013-04,46,4,<1,4
2013-05,46,4,<1,4
2013-06,41,4,<1,4
2013-07,31,4,<1,4
2013-08,49,5,<1,4
2013-09,48,6,<1,4
2013-10,49,5,<1,4
2013-11,43,5,<1,4
2013-12,25,5,<1,3
2014-01,35,6,<1,4
2014-02,50,6,<1,5
2014-03,43,7,<1,5
2014-04,38,6,<1,5
2014-05,46,6,<1,5
2014-06,43,6,<1,5
2014-07,35,6,<1,5
2014-08,49,8,<1,5
2014-09,47,9,<1,6
2014-10,50,8,<1,5
2014-11,43,8,<1,5
2014-12,24,8,<1,5
2015-01,33,9,<1,6
2015-02,51,9,<1,6
2015-03,41,9,<1,6
2015-04,41,10,<1,6
2015-05,46,10,<1,6
2015-06,40,10,<1,6
2015-07,32,10,<1,6
2015-08,40,11,<1,6
2015-09,45,13,<1,7
2015-10,45,13,<1,6
2015-11,41,12,<1,6
2015-12,23,11,<1,5
2016-01,30,13,<1,7
2016-02,53,13,<1,7
2016-03,38,13,<1,7
2016-04,44,13,<1,7
2016-05,46,14,<1,7
2016-06,38,13,<1,7
2016-07,31,13,<1,7
2016-08,39,14,<1,7
2016-09,42,18,<1,7
2016-10,45,16,<1,7
2016-11,42,17,<1,7
2016-12,21,16,<1,7
2017-01,31,20,<1,8
2017-02,49,22,<1,9
2017-03,41,22,<1,9
2017-04,34,21,<1,9
2017-05,42,22,<1,9
2017-06,35,21,<1,9
2017-07,25,21,<1,9
2017-08,37,23,<1,9
2017-09,38,26,<1,10
2017-10,42,27,<1,10
2017-11,38,27,<1,10
2017-12,20,24,<1,8
2018-01,29,28,<1,11
2018-02,47,28,<1,11
2018-03,35,30,<1,11
2018-04,39,28,<1,11
2018-05,40,30,<1,11
2018-06,35,29,<1,11
2018-07,25,30,<1,11
2018-08,35,32,<1,11
2018-09,35,34,<1,11
2018-10,38,34,<1,12
2018-11,32,33,<1,11
2018-12,18,30,<1,10
2019-01,26,37,<1,13
2019-02,41,38,<1,13
2019-03,32,37,<1,13
2019-04,29,38,<1,12
2019-05,35,39,<1,13
2019-06,31,40,<1,13
2019-07,22,42,<1,14
2019-08,30,44,<1,15
2019-09,36,48,<1,15
2019-10,36,44,<1,14
2019-11,30,44,<1,14
2019-12,18,41,<1,13
2020-01,27,47,<1,15
2020-02,39,50,<1,15
2020-03,42,42,<1,12
2020-04,45,43,<1,11
2020-05,44,43,<1,13
