campaña,Candidato,partido,distrito,jefe de campaña,Agencia,publicista,encuestadoras,Column,Column2,Column3,fuente: https://web.archive.org/web/20120126091824/http://publicidadpolitica.com.ar/notasf/nota006.htm
1973,Campora / Peron,FreJuLi,nacional,,,Santiago Mele,,,,,
1973,Campora / Peron,FreJuLi,nacional,,,Agencia Nexo,,,,,
1973,Balbin,UCR,nacional,,,Ricardo Pueyrredón,,,,,
1973,Nueva Fuerza,Nueva Fuerza,nacional,,,Juan Cosín,,,,,
1983,A. Cafiero (interna Pj),PJ,Interna,,Equipos de Difusion,Enrique Albistur (equipos De Difusión),,,,,
1983,A. Cafiero (interna Pj),PJ,Interna,,,Daniel Tracogna,,,,,
1983,A. Cafiero (interna Pj),PJ,Interna,,,Rubén Morales,,,,,
1983,Blanc (gobernación Entre Ríos),,entre rios,,Equipos de Difusion,Enrique Albistur (equipos De Difusión),,,,,
1983,Blanc (gobernación Entre Ríos),,entre rios,,,Daniel Tracogna,,,,,
1983,Blanc (gobernación Entre Ríos),,entre rios,,,Rubén Morales,,,,,
1983,Alfonsin,UCR,nacional,,,David Ratto,,,,,
1983,Alfonsin,UCR,nacional,,,Ricardo Pueyrredón,,,,,
1983,Alfonsin,UCR,nacional,,,Emilio Gibaja,,,,,
1983,Alfonsin,UCR,nacional,,,Enrique Fernández Cortés,,,,,
1983,Alfonsin,UCR,nacional,,,Enrique Vanoli,,,,,
1983,Alfonsin,UCR,nacional,,,Edgardo Catterberg,,,,,
1983,Alfonsin,UCR,nacional,,,Gabriel Dreyfus,,,,,
1983,Alfonsin,UCR,nacional,,,Marcelo Cosín,,,,,
1983,Alfonsin,UCR,nacional,,,Felipe Flischfisch,,,,,
1983,Alfonsin,UCR,nacional,,,Horacio Genta,,,,,
1983,Alfonsin,UCR,nacional,,,Juan Castagnola.,,,,,
1983,Luder,PJ,nacional,,Equipos de Difusion,Enrique Albistur (equipos De Difusión),,,,,
1983,Luder,PJ,nacional,,,Daniel Tracogna,,,,,
1983,Luder,PJ,nacional,,,Rubén Zelaya,,,,,
1983,Luder,PJ,nacional,,,José Carlos García Pan,,,,,
1983,Luder,PJ,nacional,,,Rubén Morales,,,,,
1983,Luder,PJ,nacional,,,Silvia Corral,,,,,
1983,Luder,PJ,nacional,,,Liliana Mazure,,,,,
1983,Luder,PJ,nacional,,,Edgardo Suárez,,,,,
1983,Luder,PJ,nacional,,,Teresa Albistur,,,,,
1983,Alsogaray,,nacional,,,Ricardo De Luca,,,,,
1983,Alsogaray,,nacional,,,Julio Picco,,,,,
1983,Manrique,,nacional,,,Marcos Ordóñez,,,,,
1983,Manrique,,nacional,,,Orlando Lagomarsino,,,,,
1985,Ahuad,,la pampa,,,Rubén Zelaya,,,,,
1985,Antonio Cafiero,PJ,PBA,,Equipos de Difusion,Enrique Albistur (equipos De Difusión),,,,,
1985,Antonio Cafiero,PJ,PBA,,,Enrique Vázquez,,,,,
1985,Antonio Cafiero,PJ,PBA,,,Rubén Morales,,,,,
1987,Antonio Cafiero,PJ,PBA,,Equipos de Difusion,Enrique Albistur (equipos De Difusión),,,,,
1987,Antonio Cafiero,PJ,PBA,,,Enrique Vázquez,,,,,
1987,Antonio Cafiero,PJ,PBA,,,Rubén Morales,,,,,
1985,R. Saadi,PJ,,,,Rubén Zelaya,,,,,
1985,R. Saadi,PJ,,,,Rubén Morales,,,,,
1987,Grosso,PJ,,,Equipos de Difusion,(int. Bs. As.),,,,,
1987,Grosso,PJ,,,,Enrique Albistur (equipos De Difusión),,,,,
1989,Miralles,PJ,Neuquen,,,Rubén Zelaya,,,,,
1989,Juan Pablo Cafiero (dip. ­ Frejupo),PJ,Diputado,,,Rubén Zelaya,,,,,
1989,Franco/pichetto,PJ,Legis rio negro,,,Rubén Zelaya,,,,,
1989,Angeloz,UCR,,,,Federico Ortiz,,,,,
1989,Angeloz,UCR,,,,Beba Trigo,,,,,
1989,Angeloz,UCR,,,,Ricardo Yofre,,,,,
1989,Angeloz,UCR,,,,Sawyer,,,,,
1989,Menem,PJ,,,Equipos de Difusion,Enrique Albistur (equipos De Difusión),,,,,
1989,Menem,PJ,,,,Fepac,,,,,
1989,Menem,PJ,,,,Martín Oyuela,,,,,
1989,Menem,PJ,,,,Luis Durán,,,,,
1989,Menem,PJ,,,,Horacio Diez,,,,,
1989,Menem,PJ,,,,Graciela Rohmer,,,,,
1989,Menem,PJ,,,,Carlos Grosso (contralor De Publicidad),,,,,
1989,Menem,PJ,,,,Mera Figueroa,,,,,
1989,Menem,PJ,,,,Martín Mazzei,,,,,
1989,Menem,PJ,,,,Coco Barone,,,,,
1989,Menem,PJ,,,,Beto Asurey,,,,,
1989,Menem,PJ,,,,Caloi,,,,,
1989,Menem,PJ,,,,Raúl Peirás,,,,,
1989,Menem,PJ,,,,Jorge Villanueva,,,,,
1989,Menem,PJ,,,,Marcela Bonora,,,,,
1989,Menem,PJ,,,,Teresa Albistur,,,,,
1989,Jesus Rodriguez,PJ,,,Ag. Persuasión,Carlos Falco,,,,,
1989,Jesus Rodriguez,PJ,,,,Martín Baintrub (ag. Persuasión),,,,,
1995,Jesus Rodriguez,PJ,,,Ag. Persuasión,Carlos Falco,,,,,
1995,Jesus Rodriguez,PJ,,,,Martín Baintrub (ag. Persuasión),,,,,
1989,Suarez Lastra,UCR,,,Ag. Persuasión,(leg.),,,,,
1989,Suarez Lastra,UCR,,,,Carlos Falco,,,,,
1989,Suarez Lastra,UCR,,,,Martín Baintrub (ag. Persuasión),,,,,
1989,R. Saadi,PJ,,,,Rubén Zelaya,,,,,
1989,R. Saadi,PJ,,,,Rubén Morales,,,,,
