Date,Alphacast,Users
"Sep 29, 2020",1,0
"Sep 30, 2020",2,0
"Oct 1, 2020",4,0
"Oct 2, 2020",4,0
"Oct 3, 2020",4,0
"Oct 4, 2020",5,0
"Oct 5, 2020",5,0
"Oct 6, 2020",5,0
"Oct 7, 2020",5,0
"Oct 8, 2020",5,0
"Oct 9, 2020",5,0
"Oct 10, 2020",5,0
"Oct 11, 2020",5,0
"Oct 12, 2020",5,0
"Oct 13, 2020",5,0
"Oct 14, 2020",5,0
"Oct 15, 2020",5,0
"Oct 16, 2020",5,0
"Oct 17, 2020",6,0
"Oct 18, 2020",6,0
"Oct 19, 2020",6,0
"Oct 20, 2020",6,0
"Oct 21, 2020",6,0
"Oct 22, 2020",7,0
"Oct 23, 2020",7,0
"Oct 24, 2020",7,0
"Oct 25, 2020",9,0
"Oct 26, 2020",9,0
"Oct 27, 2020",11,0
"Oct 28, 2020",11,0
"Oct 29, 2020",11,0
"Oct 30, 2020",11,0
"Oct 31, 2020",13,0
"Nov 1, 2020",15,0
"Nov 2, 2020",15,0
"Nov 3, 2020",15,0
"Nov 4, 2020",19,0
"Nov 5, 2020",21,0
"Nov 6, 2020",24,0
"Nov 7, 2020",24,0
"Nov 8, 2020",25,0
"Nov 9, 2020",27,0
"Nov 10, 2020",29,0
"Nov 11, 2020",31,0
"Nov 12, 2020",32,0
"Nov 13, 2020",33,0
"Nov 14, 2020",33,0
"Nov 15, 2020",33,0
"Nov 16, 2020",33,0
"Nov 17, 2020",33,0
"Nov 18, 2020",33,0
"Nov 19, 2020",36,0
"Nov 20, 2020",37,0
"Nov 21, 2020",38,0
"Nov 22, 2020",38,0
"Nov 23, 2020",38,0
"Nov 24, 2020",38,0
"Nov 25, 2020",41,0
"Nov 26, 2020",43,0
"Nov 27, 2020",43,0
"Nov 28, 2020",43,0
"Nov 29, 2020",43,0
"Nov 30, 2020",44,0
"Dec 1, 2020",45,0
"Dec 2, 2020",45,0
"Dec 3, 2020",45,0
"Dec 4, 2020",55,0
"Dec 5, 2020",55,0
"Dec 6, 2020",55,0
"Dec 7, 2020",55,0
"Dec 8, 2020",59,0
"Dec 9, 2020",60,0
"Dec 10, 2020",61,0
"Dec 11, 2020",63,0
"Dec 12, 2020",63,0
"Dec 13, 2020",63,0
"Dec 14, 2020",66,0
"Dec 15, 2020",66,0
"Dec 16, 2020",66,0
"Dec 17, 2020",66,0
"Dec 18, 2020",66,0
"Dec 19, 2020",66,0
"Dec 20, 2020",66,0
"Dec 21, 2020",66,0
"Dec 22, 2020",74,0
"Dec 23, 2020",75,0
"Dec 24, 2020",75,0
"Dec 25, 2020",75,0
"Dec 26, 2020",75,0
"Dec 27, 2020",75,0
"Dec 28, 2020",75,0
"Dec 29, 2020",75,0
"Dec 30, 2020",75,0
"Dec 31, 2020",75,0
"Jan 1, 2021",75,0
"Jan 2, 2021",75,0
"Jan 3, 2021",75,0
"Jan 4, 2021",75,0
"Jan 5, 2021",76,0
"Jan 6, 2021",76,0
"Jan 7, 2021",76,0
"Jan 8, 2021",76,0
"Jan 9, 2021",76,0
"Jan 10, 2021",76,0
"Jan 11, 2021",76,0
"Jan 12, 2021",77,0
"Jan 13, 2021",78,0
"Jan 14, 2021",78,0
"Jan 15, 2021",79,0
"Jan 16, 2021",80,0
"Jan 17, 2021",80,0
"Jan 18, 2021",83,0
"Jan 19, 2021",85,0
"Jan 20, 2021",89,0
"Jan 21, 2021",89,0
"Jan 22, 2021",90,0
"Jan 23, 2021",90,0
"Jan 24, 2021",90,0
"Jan 25, 2021",91,0
"Jan 26, 2021",91,0
"Jan 27, 2021",91,0
"Jan 28, 2021",92,0
"Jan 29, 2021",93,0
"Jan 30, 2021",93,0
"Jan 31, 2021",93,0
"Feb 1, 2021",93,0
"Feb 2, 2021",93,0
"Feb 3, 2021",93,0
"Feb 4, 2021",93,0
"Feb 5, 2021",94,0
"Feb 6, 2021",94,0
"Feb 7, 2021",94,0
"Feb 8, 2021",95,0
"Feb 9, 2021",96,0
"Feb 10, 2021",96,0
"Feb 11, 2021",99,0
"Feb 12, 2021",100,0
"Feb 13, 2021",100,0
"Feb 14, 2021",100,0
"Feb 15, 2021",100,0
"Feb 16, 2021",100,0
"Feb 17, 2021",100,0
"Feb 18, 2021",105,0
"Feb 19, 2021",106,0
"Feb 20, 2021",106,0
"Feb 21, 2021",108,0
"Feb 22, 2021",108,0
"Feb 23, 2021",108,0
"Feb 24, 2021",114,0
"Feb 25, 2021",114,0
"Feb 26, 2021",114,0
"Feb 27, 2021",114,0
"Feb 28, 2021",115,0
"Mar 1, 2021",118,0
"Mar 2, 2021",118,0
"Mar 3, 2021",118,0
"Mar 4, 2021",121,0
"Mar 5, 2021",126,0
"Mar 6, 2021",126,0
"Mar 7, 2021",126,0
"Mar 8, 2021",129,0
"Mar 9, 2021",130,0
"Mar 10, 2021",130,0
"Mar 11, 2021",130,0
"Mar 12, 2021",130,0
"Mar 13, 2021",130,0
"Mar 14, 2021",130,0
"Mar 15, 2021",131,0
"Mar 16, 2021",131,0
"Mar 17, 2021",135,0
"Mar 18, 2021",139,0
"Mar 19, 2021",142,0
"Mar 20, 2021",142,0
"Mar 21, 2021",143,0
"Mar 22, 2021",146,0
"Mar 23, 2021",149,0
"Mar 24, 2021",149,0
"Mar 25, 2021",150,0
"Mar 26, 2021",150,0
"Mar 27, 2021",153,0
"Mar 28, 2021",156,0
"Mar 29, 2021",157,0
"Mar 30, 2021",157,0
"Mar 31, 2021",157,0
"Apr 1, 2021",157,0
"Apr 2, 2021",157,0
"Apr 3, 2021",157,0
"Apr 4, 2021",157,0
"Apr 5, 2021",157,0
"Apr 6, 2021",157,0
"Apr 7, 2021",157,0
"Apr 8, 2021",157,0
"Apr 9, 2021",157,0
"Apr 10, 2021",159,0
"Apr 11, 2021",159,0
"Apr 12, 2021",159,0
"Apr 13, 2021",162,0
"Apr 14, 2021",162,0
"Apr 15, 2021",162,0
"Apr 16, 2021",162,0
"Apr 17, 2021",163,0
"Apr 18, 2021",163,0
"Apr 19, 2021",165,0
"Apr 20, 2021",167,0
"Apr 21, 2021",168,0
"Apr 22, 2021",168,0
"Apr 23, 2021",168,0
"Apr 24, 2021",168,0
"Apr 25, 2021",168,0
"Apr 26, 2021",168,0
"Apr 27, 2021",168,0
"Apr 28, 2021",168,0
"Apr 29, 2021",168,0
"Apr 30, 2021",168,0
"May 1, 2021",168,0
"May 2, 2021",168,0
"May 3, 2021",168,0
"May 4, 2021",168,0
"May 5, 2021",169,0
"May 6, 2021",170,0
"May 7, 2021",182,0
"May 8, 2021",185,0
"May 9, 2021",185,0
